              | Installment   | Insurance     | Interest      | Principal     | Processing Fee | Total Due    
------------- | ------------- | ------------- | ------------- | ------------- | ------------- | -------------
Month 1       |     16,666.67 |     30,000.00 |     10,000.00 |    200,000.00 |     10,000.00 |     66,666.67
Month 2       |     16,666.67 |     27,500.00 |      9,166.67 |    183,333.33 |          0.00 |     53,333.34
Month 3       |     16,666.67 |     25,000.00 |      8,333.33 |    166,666.66 |          0.00 |     50,000.00
Month 4       |     16,666.67 |     22,500.00 |      7,500.00 |    149,999.99 |          0.00 |     46,666.67
Month 5       |     16,666.67 |     20,000.00 |      6,666.67 |    133,333.32 |          0.00 |     43,333.34
Month 6       |     16,666.67 |     17,500.00 |      5,833.33 |    116,666.65 |          0.00 |     40,000.00
Month 7       |     16,666.67 |     15,000.00 |      5,000.00 |     99,999.98 |          0.00 |     36,666.67
Month 8       |     16,666.67 |     12,500.00 |      4,166.67 |     83,333.31 |          0.00 |     33,333.34
Month 9       |     16,666.67 |     10,000.00 |      3,333.33 |     66,666.64 |          0.00 |     30,000.00
Month 10      |     16,666.67 |      7,500.00 |      2,500.00 |     49,999.97 |          0.00 |     26,666.67
Month 11      |     16,666.67 |      5,000.00 |      1,666.67 |     33,333.30 |          0.00 |     23,333.34
Month 12      |     16,666.67 |      2,499.99 |        833.33 |     16,666.63 |          0.00 |     19,999.99
